Nome,Preço,Foto,Descrição,Código,Categoria,Embalagem-Largura,Embalagem-Altura,Embalagem-Comprimento,Embalagem-Peso,Embalagem-Transporte,Estoque-Saldo,Variacao1,Variavel1,Variacao2,Variavel2,Variacao3,Variavel3,Variacao4,Variavel4
01 unid - Chaveiros E Cordões Cordão Com Mosquetão,17.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/679FA36D-C97E-4BC3-9881-E0A75DBC2187.jpg?20231221112633667,Abridores E Chaveiros,CCM1201,Abridores E Chaveiros,,,,,,,,,,,,,,
05 unid - Chaveiros E Cordões Cordão Com Mosquetão,40.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A1E72EF7-FC14-49FF-8D2F-C830B7AF32E9.jpg?20231221112634107,Abridores E Chaveiros,CCM1205,Abridores E Chaveiros,,,,,,,,,,,,,,
10 unid - Chaveiros E Cordões Cordão Com Mosquetão,64.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4717A3E7-780A-448F-B82F-CAE4E103A25B.jpg?20231221112634573,Abridores E Chaveiros,CCM1210,Abridores E Chaveiros,,,,,,,,,,,,,,
25 unid - Chaveiros E Cordões Cordão Com Mosquetão,135.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30905C4D-8C18-4F60-8250-FBB4F06596EE.jpg?20231221112635013,Abridores E Chaveiros,CCM1225,Abridores E Chaveiros,,,,,,,,,,,,,,
50 unid - Chaveiros E Cordões Cordão Com Mosquetão,255.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/915F614B-FF93-4B21-BB8B-A42EA235D5C7.jpg?20231221112635433,Abridores E Chaveiros,CCM1250,Abridores E Chaveiros,,,,,,,,,,,,,,
01 unid - Chaveiros E Cordões Cordão Com Mosquetão,22.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/324E65A6-B3ED-4E33-AB39-EFEC994B9DCC.jpg?20231221112635840,Abridores E Chaveiros,CCM1501,Abridores E Chaveiros,,,,,,,,,,,,,,
05 unid - Chaveiros E Cordões Cordão Com Mosquetão,44.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2AB2AB97-959A-4A6D-BCA3-A851B50A88A3.jpg?20231221112636247,Abridores E Chaveiros,CCM1505,Abridores E Chaveiros,,,,,,,,,,,,,,
10 unid - Chaveiros E Cordões Cordão Com Mosquetão,71.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7805D2A0-09A0-4C20-8762-C92433F4432D.jpg?20231221112636653,Abridores E Chaveiros,CCM1510,Abridores E Chaveiros,,,,,,,,,,,,,,
25 unid - Chaveiros E Cordões Cordão Com Mosquetão,154.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6EEA8DB3-E6D8-49BC-A826-EE9B22C353CB.jpg?20231221112637090,Abridores E Chaveiros,CCM1525,Abridores E Chaveiros,,,,,,,,,,,,,,
50 unid - Chaveiros E Cordões Cordão Com Mosquetão,293.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D6110377-4765-4C6D-9D66-10B3D154E0A3.jpg?20231221112637530,Abridores E Chaveiros,CCM1550,Abridores E Chaveiros,,,,,,,,,,,,,,
01 unid - Chaveiros E Cordões Cordão Com Mosquetão,26.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/8BF57669-F05A-4095-A593-97A55268757C.jpg?20231221112638000,Abridores E Chaveiros,CCM2001,Abridores E Chaveiros,,,,,,,,,,,,,,
05 unid - Chaveiros E Cordões Cordão Com Mosquetão,51.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/CEC915B4-E7CE-4B72-8622-96DFA4B579B3.jpg?20231221112638420,Abridores E Chaveiros,CCM2005,Abridores E Chaveiros,,,,,,,,,,,,,,
10 unid - Chaveiros E Cordões Cordão Com Mosquetão,82.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E21E4DD1-803B-4D1A-97B1-9A1AA12E8439.jpg?20231221112638827,Abridores E Chaveiros,CCM2010,Abridores E Chaveiros,,,,,,,,,,,,,,
25 unid - Chaveiros E Cordões Cordão Com Mosquetão,180.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/CDBB6FB8-3C88-4B7A-803B-2AA476AD7771.jpg?20231221112639327,Abridores E Chaveiros,CCM2025,Abridores E Chaveiros,,,,,,,,,,,,,,
50 unid - Chaveiros E Cordões Cordão Com Mosquetão,341.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6D5A1BA1-F549-4967-B683-A7A4BFD68A49.jpg?20231221112639760,Abridores E Chaveiros,CCM2050,Abridores E Chaveiros,,,,,,,,,,,,,,
10 unid - Chaveiros E Cordões Metal Resinado,130.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F441B9A6-0193-46B0-9E77-06F60CD1026B.jpg?20231221112705123,Abridores E Chaveiros,CHRA3E10,Abridores E Chaveiros,,,,,,,,,,,,,,
